[04:35:22] [INFO] received Windows console close event; shutting log-core down
[05:09:38] [INFO] received Windows console close event; shutting log-core down
[06:14:27] [INFO] received Windows console close event; shutting log-core down
[06:14:34] [INFO] received Windows console close event; shutting log-core down
[06:18:39] [INFO] received Windows console close event; shutting log-core down
[06:28:56] [INFO] received Windows console close event; shutting log-core down
[07:09:01] [INFO] received Windows console close event; shutting log-core down
[07:52:03] [INFO] received Windows console close event; shutting log-core down
[07:52:07] [INFO] received Windows console close event; shutting log-core down
[08:28:42] [INFO] received Windows console close event; shutting log-core down
[08:31:56] [INFO] received Windows console close event; shutting log-core down
[08:32:41] [INFO] received Windows console close event; shutting log-core down
[09:14:27] [INFO] received Windows console close event; shutting log-core down
[09:17:47] [INFO] received Windows console close event; shutting log-core down
[09:20:12] [INFO] received Windows console close event; shutting log-core down
[09:21:39] [INFO] received Windows console close event; shutting log-core down
[10:14:37] [INFO] received Windows console close event; shutting log-core down
[10:19:11] [INFO] received Windows console close event; shutting log-core down
[10:21:44] [INFO] received Windows console close event; shutting log-core down
[10:38:17] [INFO] received Windows console close event; shutting log-core down
[10:46:39] [INFO] received Windows console close event; shutting log-core down
